metric,expected,observed,passed,notes
exists:dataset.csv,present,True,True,
exists:video_metadata_clean.csv,present,True,True,
exists:config/individual_actor_registry.csv,present,True,True,
exists:notebooks/rm1/tiktok_coordination_analysis.ipynb,present,True,True,
exists:notebooks/rm2/03_rm2_actor_type_typology.ipynb,present,True,True,
exists:notebooks/legacy/02_rm2_sentiment_goals.ipynb,present,True,True,
exists:output/rm2_comment_similarity/comment_similarity_pairs_all.csv,present,True,True,
exists:output/rm2_sentiment/model_v2/selected_model_development_frozen.joblib,present,True,True,
exists:output/rm2_sentiment/model_v2/final_locked_test_evaluation_lock.json,present,True,True,
exists:output/rm2_sentiment/final_v2/comment_sentiment_v2_observational.csv,present,True,True,
dataset_rows,33847,33847,True,
unique_comment_id,33847,33847,True,
observational_rows,33063,33063,True,
inj_rows,784,784,True,
observational_unique_comment_id,33063,33063,True,
observational_synthetic_ids,0,0,True,
sentiment_positive,2718,2718,True,
sentiment_neutral,23977,23977,True,
sentiment_negative,4771,4771,True,
sentiment_uncertain,1593,1593,True,
sentiment_no_text,4,4,True,
lcn_nodes,724,724,True,
lcn_edges,1357,1357,True,
hcc_count,42,42,True,
hcc_members,218,218,True,
individual_actor,43,43,True,
community_actor,218,218,True,
mass_actor,26166,26166,True,
total_actors,26427,26427,True,
community_mass_pairs,434823,434823,True,
lcn_community_mass,305,305,True,
pre_lcn_multi,2667,2667,True,
pre_lcn_single,431851,431851,True,
locked_test_rows,300,300,True,
locked_test_synthetic_ids,0,0,True,
locked_test_training_overlap,0,0,True,
locked_test_status,FINAL_LOCKED_TEST_EVALUATED_ONCE,FINAL_LOCKED_TEST_EVALUATED_ONCE,True,
model_hash,477bfe11ebc3463eeff5a5fb8359f86022d719c8bea49dfdad0460fa0c5e2ccc,477bfe11ebc3463eeff5a5fb8359f86022d719c8bea49dfdad0460fa0c5e2ccc,True,
threshold,0.42,0.42,True,
goal_orientation_total,42,42,True,
goal_neutral_engagement,31,31,True,
goal_promotional_supportive,11,11,True,
hcc_comments,945,945,True,
non_hcc_comments,32118,32118,True,
comment_similarity_lfs_path_exists,present,True,True,
comment_similarity_lfs_tracked,True,True,True,
tracked_pycache,0,0,True,
tracked_pyc,0,0,True,
tracked_private_output,0,0,True,
notebook_json_valid,True,True,True,
notebook_path_audit_failures,0,0,True,
absolute_local_paths_in_notebooks,0,0,True,
unregistered_notebook_outputs,0,0,True,
critical_artifact_hashes_unchanged,True,True,True,389 critical hash rows
