quality_category,n_comments,comment_percentage,sample_comment_ids,sample_texts
blank_text,4,0.011817886371022542,7586883985020879636;7596252026179257096;7528823882225697537;7528824271515222801, ||  || 
whitespace_only,0,0.0,,
emoji_only,2515,7.430496055780424,7321708380920824581;7416369533113352966;7320174726084772613;7328703379667419910;7272275411432866565,🥰✨ || 🥰🥰🥰 || 𝚋𝚞𝚊𝚝 𝚔𝚞𝚕𝚒𝚝 𝚋𝚎𝚛𝚖𝚒𝚗𝚢𝚊𝚔 𝚋𝚒𝚜𝚊 𝚐𝚊 𝚔𝚊𝚔?𝚖𝚊𝚞 𝚌𝚘𝚋𝚊 𝚊𝚣𝚊𝚛𝚒𝚗𝚎
url_only,23,0.06795284663337962,7357880462310982405;7357880407716758278;7357881234267194118;7357881412895179525;7357881198733574918,https://shope.ee/1VcTlWnaZU || https://shope.ee/1VcTlWnaZU || https://shope.ee/1VcTlWnaZU
mention_only,256,0.7563447277454427,7324563600855679750;7329901244319105798;7261615318978740998;7207388342744187675;7372198250793321222,@ooktvi || @jubeeee || @owndzy
very_short,6479,19.142021449463765,7412679702211789573;7327508415033869061;7332839778158674693;7327508427864900357;7330587241381118725,Azarine || Bolehh || gak kak
code_mixing,717,2.1183561320057906,7340244606807933702;7379498139060093702;7587020317824205586;7592051181234750229;5245494283788784464,"ini purging atau breakout ka?,saran di lanjut apa di stop || kak kalo di barengin skincare semacam m* glow bisa gak? || Malam cii
aku pake fw hadabalo ampoul pink+minimalist puasa ss, tp ko jrawat aku msh suka muncul yaa, aku udh mau 2bulanan pakai rangkaian itu, apa boleh recommend tmbahin yg lain atau gantii nci dari moist/gw????
mohon di respon ci"
slang,20535,60.670074157236975,7313610614231597829;7419214368988971781;7340244506267239173;7340244606807933702;7340944424291091206,"kak serum retinol complex azarine sama ampoule retinol avoskin potent yg mana? || pasti avoskin cuma gak cocok di kantong harganys || ka aku baru nyoba retinol dan pake yang smooth ini tapi ko jadi bruntusan di pipi dan jidat ya?,tapi ga gatal dan ga merah cuma bruntusan kaya isi air"
repeated_characters,1327,3.920583803586729,7330586586020987654;7586898483333546760;7586936110237827841;7587020317824205586;7587090455202169621,"Gaboleeee || hai cii, ak pengikut baru🙌
Tolong bantu ak cii,
type kulit wajah aku berminyak tapi ngga berlebihan, komedoan, gradakan, ada bruntusan kecil², dan jg jerawat muncul 1 atau 2 ....
tolong bantu rekomendasiin ak harus pakai apa aja cii? step bay step nya apa aja, ak mau mulai dari awal ngerawat wajah aku😞 || ci kulitku sekarang mudah merah kering cii, ada bintik putih sama mendem beberapa, udah dikurangin pemakaian skincare nya pake vitacidnya udah libur 2 minggu, tapi masi pake exfoliasi avoskin yang kiwi 2 kali 1 minggu, fw hadalabo, cleansing oli hadalabo, toner dojako (mau ganti ke hadalabo yang premium), moist malam pake noroid shoting cream pagi kadang pake kadang pake hadalabo, ss dear me beauty yang merah, aku juga pagi kadang make skin1004 yang putih buat ngelembapin gitu (soalnya berasa lembab banget pake itu ci) serum ku ourdayle tapi udah stop sekitar 1 bulanan, gimana ciii aku bingung mau gimana??? (kadang muka aku ketarik di dalam tapi luarnya berminyak ciiii"
negation,9524,28.13838744940467,7419214368988971781;7340244506267239173;7340944424291091206;7327069054786601733;7342497001139356421,"pasti avoskin cuma gak cocok di kantong harganys || ka aku baru nyoba retinol dan pake yang smooth ini tapi ko jadi bruntusan di pipi dan jidat ya?,tapi ga gatal dan ga merah cuma bruntusan kaya isi air || tumbuh bruntusan nya di area yang emang sering bruntusan ga? kalo iya itu purging. Kalo engga berarti ga cocok"
question,7696,22.73761337784737,7313610614231597829;7419214368988971781;7340244506267239173;7340244606807933702;7340944424291091206,"kak serum retinol complex azarine sama ampoule retinol avoskin potent yg mana? || pasti avoskin cuma gak cocok di kantong harganys || ka aku baru nyoba retinol dan pake yang smooth ini tapi ko jadi bruntusan di pipi dan jidat ya?,tapi ga gatal dan ga merah cuma bruntusan kaya isi air"
potential_sarcasm,747,2.2069902797884597,7397083117461750533;7386012020100285190;7330586777482347269;7322418149794071301;7315066125342163717,"masa ku tnya pas live Azarine katanya ga boleh di gabung gitu 😭bingung || Boleh kok , yg penting ga di pake barengan aja || Kalo ak iya haha krn biar lebi minimm iritasi"
mixed_sentiment,979,2.8924276893077674,7419214368988971781;7340944424291091206;7322418149794071301;7318659947952603909;7589273851784659733,"pasti avoskin cuma gak cocok di kantong harganys || tumbuh bruntusan nya di area yang emang sering bruntusan ga? kalo iya itu purging. Kalo engga berarti ga cocok || kalo moisturizer nya pake apa kak? rekomen dong, aku pake moist skingame daily kok finish masih ngerasa lengket"
domain_term,5842,17.260023044878423,7419214368988971781;7340244506267239173;7340244606807933702;7340944424291091206;7413911087689646854,"pasti avoskin cuma gak cocok di kantong harganys || ka aku baru nyoba retinol dan pake yang smooth ini tapi ko jadi bruntusan di pipi dan jidat ya?,tapi ga gatal dan ga merah cuma bruntusan kaya isi air || ini purging atau breakout ka?,saran di lanjut apa di stop"
model_text_blank,4,0.011817886371022542,7586883985020879636;7596252026179257096;7528823882225697537;7528824271515222801, ||  || 
clear_valence_emoji,5472,16.16686855555884,7313864638628709126;7397083117461750533;7321714162261623560;7321708380920824581;7324302293402403589,"Avoskin for sure!! 🙏 || masa ku tnya pas live Azarine katanya ga boleh di gabung gitu 😭bingung || makasii kak infonya, tadi maju mundur makek udah beli aja soalnya heheh🙏"
